generation_detail_id,name,technology,capacity_mw,generation_source_type,capacity_fossil_mw,capacity_regenerative_mw,capacity_hydro_mw,capacity_pv_mw,capacity_wind_mw,lat,long,area_province,state,commercial_operation_date,start_year_of_operation,number_units_installed,peak_generation_mw,off_peak_generation_mw,ownership,data_ressource,last_update_date
185,Okpai Power Plant ,Gas,470,fossil,470,,,,,5.7103,6.57561,Okpai,Delta,2005,2005,3,173,154,Private Company,"2,3,5",2021-02-26
186,Afam IV-V Power Plant ,Gas,260,fossil,260,,,,,4.8513889,7.2547222,Afam,Rivers State,1982/2002,2002,2,30,269,FGN ,"2,3,5",2021-02-26
187,Afam VI Power Plant ,Gas+Steam,725,fossil,725,,,,,4.8494444,7.2566667,Afam ,Rivers State,2005/2009,2009,4,271,214,Private Company,"2,3,5",2021-02-26
188,Alaoiji Power Plant - NIPP,Gas,480,fossil,480,,,,,5.0666667,7.3233333,Aba,Abia ,2013-14,2014,4,88.1,0,NIPP,"2,3,5",2021-02-26
189,Ibom Power Station (IPP),Gas,174,fossil,174,,,,,4.5647222,7.5683333,Ikot,Akwa/Ibom,2009/2010/2016,2016,3,82.3,0,State Govt.,"2,3,5",2021-02-26
190,Odukpani  (Calabar) Power Plant ,Gas,600,fossil,600,,,,,5.1891667,8.2736111,Calabar ,Rivers State,2015,2015,5,399,289.6,Private Company,"2,3,5",2021-02-26
191,Omoku Power Plant - NIPP,Gas,120,fossil,120,,,,,5.39,6.663333,Omuku,Ogba/Egbema/Ndoni,2006,2006,6,107.9,34.1,State Govt.,"2,3,5",2021-02-26
192,Trans-Amadi Power Plant (IPP),Gas,80,fossil,80,,,,,4.815994,7.031416,Port Harcourt,Rivers State,2010,2010,4,75.4,33.7,Private Company,"2,3,5",2021-02-26
193,Rivers Power Plant (IPP),Gas,160,fossil,160,,,,,,,Port Harcourt,Rivers State,2012,2012,1,152,20,State Govt.,"2,3,5",2021-02-26
194,ASCO (Ajaokuta Steel Company) IPP,Gas,110,fossil,110,,,,,7.5144,6.69059,Ajaokuta,Kogi,2019-2021,2021,2,0,0,Private Company,"2,3,5",2021-02-26
195,Azura Thermal Power Station (IPP),Gas,460,fossil,460,,,,,6.408889,5.683611,Benin City,Edo ,2018,2018,2,400,225,Private Company,"2,3,5",2021-02-26
196,Paras Energy & Natural Res. Dev. Ltd.,Gas,96,fossil,96,,,,,6.72014,3.5222,Ogijo,Ogun ,2016,2016,1,53.7,44,Private Company,"2,3,5",2021-02-26
197,Gbarain Power Plant - NIPP,Gas,250,fossil,250,,,,,5.03223,6.30156,Yenagoa,Bayelsa ,2016,2016,2,0,0,NIPP,"2,3,5",2021-02-26
198,Gurara ,Hydro,30,regenerative,,30,30,,,,,,,2017,2017,2,,,Private Company,"1,3",2021-02-26
199,Egbema I - NIPP,Gas,118,fossil,118,,,,,,,,,2018,2018,1,,,NIPP,"1,3",2021-02-26
200,Mabon - Dadin Kowa,Hydro,39,regenerative,,39,39,100,,,,,,2018,2018,1,,,Private Company,"1,3",2021-02-26
201,Nova Solar ,PV,100,regenerative,,100,,80,,,,,Katsina,2018,2018,,,,Private Company,"1,3",2021-02-26
202,Nova Scotia Power,PV,80,regenerative,,80,,,,,,,Jigawa,2018,2018,,,,Private Company,"1,3",2021-02-26
203,Egbema I - NIPP,Gas,113,fossil,113,,,,,,,,,2019,2019,,,,NIPP,"1,3",2021-02-26
204,Egbema I - NIPP,Gas,113,fossil,113,,,,,,,,,2019,2019,,,,NIPP,"1,3",2021-02-26
205,Kaduna IPP,Gas,215,fossil,215,,,,,,,,,2019,2019,,,,Private Company,"1,3",2021-02-26
206,Kashimbilla,Hydro,40,regenerative,,40,40,,,,,,,2019,2019,,,,Private Company,"1,3",2021-02-26
207,Zungeru,Hydro,700,regenerative,,700,700,75,,,,,,2019,2019,4,,,Private Company,"1,3",2021-02-26
208,Pan Africa Solar ,PV,75,regenerative,,75,,100,,,,,Katsina ,2019,2019,,,,Private Company,"1,3",2021-02-26
209,LR Aaron Solar Power Plant ,PV,100,regenerative,,100,,50,,,,Abuja ,FCT,2019,2019,,,,Private Company,"1,3",2021-02-26
210,Quaint Energy Solutions,PV,50,regenerative,,50,,100,,,,,Kaduna ,2019,2019,,,,Private Company,"1,3",2021-02-26
211,Nigeria Solar Capital Partners,PV,100,regenerative,,100,,100,,,,,Bauchi ,2019,2019,,,,Private Company,"1,3",2021-02-26
212,Motir Dusable ,PV,100,regenerative,,100,,100,,,,,Enugu,2020,2020,,,,Private Company,"1,3",2021-02-26
